t,Explizit,Euler,Milstein
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000056e-01,1.322483679988265770e+00,1.329511544400652667e+00,1.318574896127271634e+00
2.000000000000000111e-01,1.406985542626160379e+00,1.478334352296650556e+00,1.402773964619892233e+00
3.000000000000000444e-01,1.575405148669594357e+00,1.719395947887041087e+00,1.570341755807329154e+00
4.000000000000000222e-01,7.508930847772126160e-01,5.312856491075115262e-01,8.378391044519684083e-01
5.000000000000000000e-01,5.328335530717487334e-01,3.755901658928536557e-01,5.997159322392909830e-01
6.000000000000000888e-01,6.360012949824431772e-01,4.608459437556907123e-01,7.152539077445749793e-01
7.000000000000000666e-01,8.560141387359633258e-01,6.207992543618593428e-01,9.593102903371369949e-01
8.000000000000000444e-01,6.282034124398362396e-01,4.597497275940235495e-01,7.084011331266601985e-01
9.000000000000000222e-01,7.365353330477379945e-01,5.558802646637450717e-01,8.300679731899137659e-01
1.000000000000000000e+00,8.375464698890601190e-01,6.551157535706365609e-01,9.436031561883759800e-01
